trial	subject	repetition	x	y	random
train	rat7	0	0.18899496	0.3228427	false
train	rat7	0	0.19606602	0.32991377	false
train	rat7	0	0.20313708	0.33698484	false
train	rat7	0	0.20313708	0.34698483	false
train	rat7	0	0.19606602	0.3540559	false
train	rat7	0	0.18899496	0.36112696	false
train	rat7	0	0.18192388	0.36819804	false
train	rat7	0	0.18192388	0.37819803	false
train	rat7	0	0.18899496	0.3852691	false
train	rat7	0	0.18899496	0.3952691	false
train	rat7	0	0.18192388	0.40234017	false
train	rat7	0	0.18192388	0.41234016	false
train	rat7	0	0.18899496	0.41941124	false
train	rat7	0	0.19606602	0.41234016	false
train	rat7	0	0.19606602	0.40234017	false
train	rat7	0	0.19606602	0.39234018	false
train	rat7	0	0.20313708	0.3852691	false
train	rat7	0	0.21313709	0.3852691	false
train	rat7	0	0.22020815	0.39234018	false
train	rat7	0	0.22727922	0.39941123	false
train	rat7	0	0.23727922	0.39941123	false
train	rat7	0	0.24727923	0.39941123	false
train	rat7	0	0.25727922	0.39941123	false
train	rat7	0	0.25020817	0.4064823	false
train	rat7	0	0.24313709	0.4135534	false
train	rat7	0	0.23606601	0.42062443	false
train	rat7	0	0.22606602	0.42062443	false
train	rat7	0	0.21606602	0.42062443	false
train	rat7	0	0.20899495	0.4135534	false
train	rat7	0	0.20899495	0.40355337	false
train	rat7	0	0.20899495	0.39355338	false
train	rat7	0	0.20899495	0.3835534	false
train	rat7	0	0.20899495	0.37355337	false
train	rat7	0	0.21606602	0.36648232	false
train	rat7	0	0.21606602	0.3764823	false
train	rat7	0	0.21606602	0.3864823	false
train	rat7	0	0.20606603	0.3864823	false
train	rat7	0	0.19899495	0.39355338	false
train	rat7	0	0.19899495	0.3835534	false
train	rat7	0	0.19192389	0.3764823	false
train	rat7	0	0.18485282	0.36941123	false
train	rat7	0	0.17485282	0.36941123	false
train	rat7	0	0.16485281	0.36941123	false
train	rat7	0	0.15485282	0.36941123	false
train	rat7	0	0.14485282	0.36941123	false
train	rat7	0	0.13485283	0.36941123	false
train	rat7	0	0.12778175	0.36234018	false
train	rat7	0	0.11778175	0.36234018	false
train	rat7	0	0.10778175	0.36234018	false
train	rat7	0	0.10071068	0.36941123	false
train	rat7	0	0.090710685	0.36941123	false
train	rat7	0	0.08071069	0.36941123	false
train	rat7	0	0.07071069	0.36941123	false
train	rat7	0	0.060710687	0.36941123	false
train	rat7	0	0.060710687	0.37941122	false
train	rat7	0	0.053639617	0.3864823	false
train	rat7	0	0.05363962	0.3964823	false
